date,region,category,product,quantity,unit_price,amount
2024-01-15,North,Electronics,Laptop,2,999.99,1999.98
2024-01-20,South,Clothing,T-Shirt,10,19.99,199.90
2024-01-22,East,Electronics,Smartphone,5,699.99,3499.95
2024-01-25,West,Food,Coffee,50,4.99,249.50
2024-02-10,North,Clothing,Jacket,3,89.99,269.97
2024-02-15,South,Electronics,Tablet,4,399.99,1599.96
2024-02-20,East,Food,Snacks,100,2.99,299.00
2024-02-25,West,Clothing,Shoes,6,79.99,479.94
2024-03-05,North,Electronics,Headphones,8,149.99,1199.92
2024-03-10,South,Food,Beverages,30,3.49,104.70
2024-03-15,East,Electronics,Laptop,1,999.99,999.99
2024-03-20,West,Clothing,Jeans,12,49.99,599.88
2024-03-25,North,Food,Groceries,25,5.99,149.75
2024-04-05,South,Electronics,Smartphone,3,699.99,2099.97
2024-04-10,East,Clothing,Hat,20,14.99,299.80
2024-04-15,West,Food,Coffee,40,4.99,199.60
2024-04-20,North,Electronics,Tablet,2,399.99,799.98
2024-04-25,South,Clothing,T-Shirt,15,19.99,299.85
2024-05-05,East,Food,Snacks,80,2.99,239.20
2024-05-10,West,Electronics,Headphones,5,149.99,749.95
2024-05-15,North,Clothing,Jacket,4,89.99,359.96
2024-05-20,South,Electronics,Laptop,3,999.99,2999.97
2024-05-25,East,Food,Beverages,50,3.49,174.50
2024-06-05,West,Clothing,Shoes,8,79.99,639.92
2024-06-10,North,Electronics,Smartphone,2,699.99,1399.98
2024-06-15,South,Food,Groceries,35,5.99,209.65
2024-06-20,East,Clothing,Jeans,10,49.99,499.90
2024-06-25,West,Electronics,Tablet,1,399.99,399.99
2024-07-05,North,Food,Coffee,60,4.99,299.40
2024-07-10,South,Clothing,Hat,25,14.99,374.75
2024-07-15,East,Electronics,Headphones,6,149.99,899.94
2024-07-20,West,Food,Snacks,90,2.99,269.10
2024-07-25,North,Electronics,Laptop,4,999.99,3999.96
2024-08-05,South,Clothing,T-Shirt,20,19.99,399.80
2024-08-10,East,Food,Beverages,45,3.49,157.05
2024-08-15,West,Electronics,Smartphone,4,699.99,2799.96
2024-08-20,North,Clothing,Jacket,5,89.99,449.95
2024-08-25,South,Food,Groceries,40,5.99,239.60
2024-09-05,East,Electronics,Tablet,3,399.99,1199.97
2024-09-10,West,Clothing,Shoes,7,79.99,559.93
2024-09-15,North,Food,Coffee,55,4.99,274.45
2024-09-20,South,Electronics,Headphones,7,149.99,1049.93
2024-09-25,East,Clothing,Jeans,14,49.99,699.86
2024-10-05,West,Food,Snacks,110,2.99,328.90
2024-10-10,North,Electronics,Laptop,2,999.99,1999.98
2024-10-15,South,Clothing,Hat,30,14.99,449.70
2024-10-20,East,Food,Beverages,60,3.49,209.40
2024-10-25,West,Electronics,Smartphone,3,699.99,2099.97
2024-11-05,North,Clothing,T-Shirt,18,19.99,359.82
2024-11-10,South,Food,Groceries,50,5.99,299.50
2024-11-15,East,Electronics,Tablet,2,399.99,799.98
2024-11-20,West,Clothing,Jacket,6,89.99,539.94
2024-11-25,North,Food,Coffee,70,4.99,349.30
2024-12-05,South,Electronics,Headphones,9,149.99,1349.91
2024-12-10,East,Clothing,Shoes,9,79.99,719.91
2024-12-15,West,Food,Snacks,120,2.99,358.80
2024-12-20,North,Electronics,Laptop,5,999.99,4999.95
2024-12-25,South,Clothing,Jeans,16,49.99,799.84

